Date,Category,Region,Revenue,Units_Sold
2026-02-17,Cloud Services,North,170.06,1
2026-01-23,Software,North,924.57,7
2026-03-03,Hardware,North,405.76,8
2026-03-29,Electronics,South,614.48,6
2026-02-06,Hardware,North,468.61,5
2026-04-09,Electronics,South,565.73,6
2026-02-13,Cloud Services,East,1092.62,2
2026-03-27,Electronics,West,480.83,1
2026-04-01,Cloud Services,North,871.29,7
2026-02-04,Electronics,North,740.27,7
2026-03-06,Cloud Services,East,1012.32,2
2026-04-09,Electronics,West,1408.4,2
2026-02-16,Software,South,1112.23,1
2026-03-19,Electronics,West,361.66,8
2026-01-03,Electronics,East,95.22,8
2026-01-01,Software,East,430.28,1
2026-01-05,Hardware,West,912.86,8
2026-03-31,Hardware,South,124.57,9
2026-01-14,Electronics,South,769.73,4
2026-01-27,Software,North,915.42,1
2026-01-09,Electronics,South,534.65,1
2026-03-20,Cloud Services,West,1167.82,3
2026-01-15,Cloud Services,East,204.57,5
2026-03-31,Electronics,North,158.95,5
2026-02-11,Hardware,North,1105.87,9
2026-03-18,Hardware,East,768.46,2
2026-02-20,Electronics,South,1048.18,2
2026-03-04,Electronics,East,680.5,6
2026-04-06,Cloud Services,South,407.28,9
2026-02-21,Hardware,East,1237.7,1
2026-04-06,Electronics,West,1209.15,9
2026-01-04,Cloud Services,South,1057.31,9
2026-04-04,Hardware,West,444.61,9
2026-01-23,Software,North,905.83,5
2026-01-15,Cloud Services,East,573.41,9
2026-02-12,Hardware,North,182.79,4
2026-01-29,Hardware,North,1380.1,2
2026-02-05,Cloud Services,North,248.39,6
2026-01-13,Software,North,1427.84,4
2026-02-01,Cloud Services,East,696.71,6
2026-03-12,Hardware,North,318.44,3
2026-02-28,Electronics,East,835.76,6
2026-03-27,Electronics,East,1315.77,2
2026-01-28,Cloud Services,West,1111.73,2
2026-03-07,Hardware,South,1219.51,9
2026-02-11,Electronics,South,1005.24,7
2026-02-14,Hardware,East,1053.8,3
2026-03-03,Cloud Services,West,1281.33,1
2026-02-26,Electronics,East,412.02,8
2026-01-06,Hardware,East,759.67,6
2026-01-28,Electronics,East,370.75,7
2026-01-28,Cloud Services,West,1482.12,9
2026-02-13,Hardware,South,1418.89,5
2026-03-25,Electronics,West,107.17,1
2026-01-30,Cloud Services,North,1073.08,7
2026-03-03,Electronics,West,1391.61,5
2026-03-16,Electronics,West,311.83,3
2026-04-02,Software,West,873.52,9
2026-03-30,Software,West,1377.46,1
2026-03-03,Cloud Services,South,99.22,1
2026-04-07,Software,North,1061.26,1
2026-01-01,Cloud Services,South,481.16,3
2026-01-27,Software,South,1390.37,6
2026-03-03,Electronics,West,1458.03,3
2026-03-18,Cloud Services,East,1419.19,8
2026-01-03,Cloud Services,East,737.61,2
2026-03-11,Electronics,South,1299.96,9
2026-03-13,Cloud Services,South,,3
2026-01-27,Cloud Services,West,512.7,5
2026-01-09,Software,South,1251.93,8
2026-03-03,Cloud Services,West,103.66,2
2026-02-06,Hardware,East,914.59,6
2026-04-07,Electronics,East,383.51,5
2026-02-20,Software,North,224.82,9
2026-02-13,Software,East,161.58,5
2026-01-24,Hardware,South,1059.62,2
2026-03-20,Electronics,East,542.82,5
2026-02-28,Electronics,West,1100.91,4
2026-02-01,Software,East,144.77,7
2026-04-06,Cloud Services,North,507.17,6
2026-03-29,Software,East,832.26,2
2026-02-21,Electronics,West,1196.55,5
2026-03-03,Hardware,West,512.19,7
2026-02-27,Software,South,957.54,7
2026-02-21,Electronics,East,1334.67,5
2026-01-12,Software,West,943.0,9
2026-02-08,Cloud Services,North,387.79,4
2026-01-02,Software,South,85.38,3
2026-01-03,Software,North,1311.64,4
2026-02-25,Electronics,East,80.84,5
2026-03-22,Electronics,East,1318.32,6
2026-02-28,Electronics,East,816.96,3
2026-01-02,Software,South,1411.65,2
2026-01-02,Cloud Services,West,1208.24,4
2026-04-02,Hardware,South,1497.0,5
2026-02-23,Hardware,North,558.53,4
2026-03-28,Electronics,South,1162.42,3
2026-04-06,Electronics,North,632.8,8
2026-04-07,Software,South,745.82,4
2026-01-01,Hardware,West,959.88,2
2026-01-19,Electronics,North,1316.83,2
2026-01-02,Cloud Services,East,1476.92,1
2026-02-22,Cloud Services,East,1164.0,4
2026-02-13,Electronics,South,655.76,9
2026-03-31,Electronics,East,660.97,7
2026-02-01,Hardware,North,1119.49,7
2026-03-11,Hardware,East,396.23,7
2026-02-01,Software,West,210.19,8
2026-03-09,Hardware,West,564.2,1
2026-02-24,Cloud Services,South,466.5,8
2026-03-16,Cloud Services,North,479.65,4
2026-02-25,Electronics,West,388.73,4
2026-01-17,Hardware,West,111.04,4
2026-02-07,Software,North,75.92,6
2026-01-24,Cloud Services,East,1482.2,7
2026-03-10,Cloud Services,East,670.27,6
2026-04-08,Software,South,607.27,1
2026-03-11,Software,East,1035.49,8
2026-03-27,Cloud Services,North,366.47,7
2026-01-11,Cloud Services,West,1427.44,6
2026-01-16,Software,East,1190.2,6
2026-04-07,Cloud Services,South,179.65,5
2026-03-14,Electronics,East,655.49,6
2026-02-28,Electronics,North,1324.72,9
2026-03-11,Software,South,1419.86,9
2026-03-21,Hardware,East,727.73,8
2026-04-03,Software,South,939.45,9
2026-01-03,Software,North,292.2,8
2026-01-20,Hardware,West,1487.19,8
2026-02-28,Hardware,North,385.92,1
2026-02-05,Hardware,North,1416.96,5
2026-01-19,Electronics,North,991.99,4
2026-03-31,Cloud Services,North,931.22,2
2026-03-08,Electronics,West,793.4,8
2026-01-19,Cloud Services,West,384.47,3
2026-01-20,Electronics,South,305.97,4
2026-04-06,Cloud Services,East,369.71,7
2026-03-12,Electronics,West,320.34,9
2026-02-21,Hardware,West,1180.4,2
2026-02-02,Software,East,557.68,3
2026-02-09,Electronics,West,,4
2026-02-08,Cloud Services,North,1455.2,1
2026-03-23,Hardware,North,1331.49,7
2026-01-01,Electronics,East,1395.24,2
2026-01-11,Electronics,South,1492.62,5
2026-04-02,Hardware,South,302.15,1
2026-02-26,Electronics,East,624.55,3
2026-03-30,Software,East,1149.45,2
2026-02-19,Electronics,North,,1
2026-01-23,Software,South,273.15,7
2026-01-31,Software,West,1232.96,5
2026-04-04,Hardware,North,375.44,1
2026-02-11,Electronics,East,374.54,6
2026-04-09,Hardware,South,828.61,5
2026-01-07,Electronics,West,909.76,3
2026-01-16,Electronics,West,891.13,7
2026-03-31,Cloud Services,North,182.66,9
2026-03-01,Electronics,South,1322.32,9
2026-01-02,Hardware,South,435.12,9
2026-01-01,Software,East,237.8,2
2026-02-17,Electronics,South,1338.68,3
2026-01-12,Cloud Services,South,1435.69,7
2026-03-10,Hardware,North,1300.09,5
2026-02-06,Electronics,South,1223.8,2
2026-02-01,Hardware,West,1000.1,3
2026-01-09,Cloud Services,North,848.74,6
2026-04-09,Cloud Services,North,176.13,7
2026-01-19,Hardware,East,642.26,9
2026-02-17,Electronics,South,590.4,1
2026-03-21,Software,East,426.64,7
2026-01-03,Cloud Services,West,1098.96,8
2026-01-20,Electronics,North,769.02,3
2026-01-24,Electronics,North,167.52,4
2026-02-23,Software,North,369.27,6
2026-02-02,Cloud Services,West,,7
2026-01-24,Cloud Services,West,160.39,4
2026-03-16,Electronics,East,1284.25,8
2026-03-13,Electronics,East,767.96,5
2026-02-05,Software,East,746.85,1
2026-02-07,Software,South,908.99,4
2026-03-25,Cloud Services,North,1245.79,3
2026-04-09,Hardware,North,554.32,9
2026-03-30,Cloud Services,East,1033.12,8
2026-04-09,Electronics,North,870.31,1
2026-01-25,Cloud Services,East,437.19,6
2026-04-03,Hardware,South,,9
2026-01-18,Software,South,1206.27,7
2026-03-23,Hardware,West,1004.76,4
2026-03-07,Hardware,South,1283.34,1
2026-02-23,Hardware,East,,2
2026-02-04,Software,South,1077.13,5
2026-03-21,Hardware,West,1263.67,5
2026-03-02,Hardware,North,1061.33,8
2026-02-10,Hardware,East,1036.2,6
2026-04-10,Electronics,North,946.99,8
2026-02-02,Hardware,West,1141.44,2
2026-03-09,Software,West,279.98,3
2026-02-02,Hardware,West,1327.26,6
2026-01-14,Hardware,North,1314.17,3
2026-01-21,Software,North,92.41,6
2026-02-17,Hardware,North,1247.43,6
2026-01-20,Software,North,236.86,2
2026-01-08,Hardware,West,535.92,7
2026-01-07,Software,West,1128.09,2
2026-03-08,Hardware,East,283.1,6
2026-01-17,Hardware,East,1236.05,1
2026-02-02,Electronics,North,1256.59,3
2026-02-17,Electronics,South,785.83,2
2026-03-17,Hardware,South,,7
2026-02-28,Hardware,West,466.21,4
2026-03-27,Cloud Services,West,944.54,8
2026-01-22,Software,West,1472.72,6
2026-01-30,Cloud Services,East,966.13,4
2026-02-07,Electronics,East,,5
2026-02-20,Electronics,West,969.31,9
2026-02-23,Electronics,West,832.98,7
2026-01-08,Electronics,West,1180.78,9
2026-01-27,Hardware,South,205.12,7
2026-01-27,Electronics,East,1153.49,1
2026-04-08,Hardware,South,834.84,8
2026-01-21,Hardware,South,1446.34,4
2026-01-30,Electronics,West,545.71,3
2026-04-07,Electronics,West,,7
2026-01-28,Software,North,1401.44,3
2026-03-05,Cloud Services,North,198.64,8
2026-04-07,Electronics,South,1408.98,6
2026-03-10,Software,East,1047.43,5
2026-03-02,Software,West,148.36,4
2026-02-17,Cloud Services,West,486.4,8
2026-01-19,Hardware,South,1076.85,8
2026-01-04,Electronics,North,147.66,1
2026-02-04,Cloud Services,East,,9
2026-03-05,Electronics,North,551.53,5
2026-02-18,Software,North,950.33,4
2026-01-17,Software,North,116.33,6
2026-02-13,Hardware,North,1313.73,6
2026-04-02,Software,West,1461.56,2
2026-01-30,Software,West,1454.87,8
2026-04-03,Cloud Services,North,1137.0,7
2026-02-15,Electronics,East,238.63,1
2026-01-06,Electronics,South,1149.48,5
2026-04-09,Cloud Services,East,85.65,6
2026-02-06,Hardware,East,82.08,4
2026-01-24,Electronics,East,519.23,2
2026-04-03,Software,North,758.53,4
2026-02-15,Electronics,West,1167.09,1
2026-02-22,Software,East,1040.78,7
2026-04-05,Hardware,North,696.56,2
2026-04-09,Cloud Services,East,446.76,2
2026-03-01,Electronics,East,1495.83,9
2026-04-07,Cloud Services,North,667.96,5
2026-03-04,Electronics,West,,2
2026-03-26,Software,West,287.25,9
2026-02-01,Cloud Services,South,1202.47,9
2026-03-28,Electronics,North,1055.84,1
2026-02-02,Software,South,,3
2026-03-08,Cloud Services,South,169.45,4
2026-01-18,Cloud Services,South,1036.72,7
2026-01-25,Electronics,West,999.04,4
2026-04-05,Electronics,North,446.23,2
2026-02-23,Electronics,South,1428.75,7
2026-02-27,Software,North,269.03,6
2026-03-08,Electronics,North,676.89,3
2026-02-15,Cloud Services,West,1418.24,6
2026-01-24,Cloud Services,South,658.6,6
2026-02-01,Electronics,South,975.86,5
2026-02-16,Electronics,North,626.51,4
2026-03-27,Hardware,East,447.61,1
2026-01-23,Cloud Services,West,1476.77,6
2026-03-07,Software,West,643.53,2
2026-01-27,Hardware,West,1346.44,3
2026-01-02,Electronics,West,383.43,8
2026-03-31,Electronics,South,359.0,6
2026-01-17,Cloud Services,South,95.14,3
2026-02-02,Electronics,East,994.92,7
2026-01-09,Software,West,584.36,4
2026-02-12,Cloud Services,West,1303.32,9
2026-02-17,Electronics,North,736.15,5
2026-02-08,Cloud Services,South,1453.88,3
2026-04-03,Electronics,West,319.01,2
2026-02-11,Electronics,East,1309.5,2
2026-01-26,Electronics,East,1176.07,3
2026-04-09,Software,South,1167.84,2
2026-02-19,Software,East,1274.94,4
2026-01-25,Cloud Services,East,1153.48,2
2026-01-24,Electronics,South,958.02,9
2026-01-13,Electronics,West,240.31,2
2026-03-01,Software,West,97.16,9
2026-01-07,Electronics,East,1385.23,6
2026-02-26,Software,East,944.14,1
2026-02-05,Electronics,West,1204.98,4
2026-02-14,Cloud Services,South,748.21,1
2026-01-20,Electronics,East,220.1,6
2026-03-06,Electronics,North,231.52,4
2026-01-08,Hardware,South,1044.07,3
2026-01-16,Software,East,673.94,3
2026-01-14,Electronics,East,340.76,9
2026-03-17,Electronics,North,,6
2026-03-28,Hardware,North,143.1,9
2026-01-15,Hardware,West,893.86,5
2026-04-02,Software,South,440.04,2
2026-04-08,Hardware,South,1206.46,8
2026-03-07,Cloud Services,West,500.02,5
2026-02-01,Hardware,South,710.07,2
2026-03-28,Cloud Services,South,66.85,4
2026-03-04,Software,South,155.05,9
2026-03-27,Software,South,619.12,4
2026-02-20,Software,South,745.91,4
2026-01-25,Software,North,920.03,2
2026-02-27,Software,South,472.91,6
2026-03-04,Cloud Services,North,1057.72,2
2026-03-03,Cloud Services,South,1297.18,7
2026-01-22,Software,West,1180.78,3
2026-02-27,Hardware,East,107.45,3
2026-02-27,Electronics,North,746.74,5
2026-03-27,Software,South,202.15,3
2026-02-18,Hardware,West,400.97,2
2026-02-21,Electronics,East,,9
2026-02-11,Software,North,256.62,2
2026-03-11,Software,East,773.39,2
2026-01-15,Cloud Services,West,946.33,8
2026-02-23,Electronics,North,1068.57,9
2026-03-01,Electronics,East,861.49,7
2026-04-07,Hardware,South,64.17,3
2026-01-08,Cloud Services,North,523.37,9
2026-02-22,Cloud Services,East,800.68,3
2026-03-01,Cloud Services,West,177.41,5
2026-01-05,Cloud Services,West,558.41,9
2026-03-09,Electronics,North,98.14,3
2026-01-06,Electronics,East,163.94,7
2026-04-06,Software,North,625.54,1
2026-04-04,Software,North,242.44,4
2026-02-16,Cloud Services,East,872.93,4
2026-04-09,Cloud Services,East,1049.72,7
2026-02-24,Cloud Services,South,1210.85,8
2026-02-09,Software,East,340.22,1
2026-02-21,Hardware,West,292.85,5
2026-01-16,Hardware,North,201.62,7
2026-01-13,Software,North,972.82,4
2026-01-30,Software,West,1074.39,4
2026-01-19,Software,East,95.8,4
2026-01-17,Software,West,1407.51,6
2026-03-04,Software,West,125.36,7
2026-01-19,Software,South,834.88,2
2026-04-02,Cloud Services,West,1078.14,5
2026-02-27,Cloud Services,North,1312.91,4
2026-02-24,Cloud Services,West,1085.43,3
2026-03-31,Cloud Services,North,1212.51,7
2026-03-31,Software,North,542.2,6
2026-03-03,Hardware,North,1231.5,7
2026-01-23,Electronics,East,166.17,5
2026-01-09,Software,South,1347.48,6
2026-01-12,Electronics,North,844.01,5
2026-01-01,Hardware,North,1235.08,7
2026-02-27,Cloud Services,East,705.86,2
2026-01-01,Hardware,North,983.19,5
2026-02-03,Software,West,813.28,6
2026-04-06,Cloud Services,West,1110.8,6
2026-02-17,Software,South,168.36,5
2026-03-30,Cloud Services,North,137.51,7
2026-01-01,Electronics,East,408.3,8
2026-01-16,Electronics,West,281.34,7
2026-03-02,Electronics,East,1314.09,5
2026-03-05,Hardware,East,,1
2026-03-04,Software,West,1465.0,5
2026-03-10,Hardware,East,538.5,2
2026-01-22,Electronics,West,314.07,5
2026-04-03,Software,East,1195.06,5
2026-03-08,Electronics,West,,2
